seed,Group,chem,mean_weight,total_mean,sd_total_mean,above_threshold
9,Non-Dioxin-like PCBs,PCB 187,2.28E-07,0.023013487,0.039626962,12
10,mPFD,"2,3,4,7,8-pncdf",0.247837548,0.262474651,0.132506685,96
10,Non-Ortho PCBs,PCB 126,0.186078734,0.123166939,0.090888143,68
10,mPFD,PCB 118,0.13956311,0.085772087,0.079365683,54
10,Non-Dioxin-like PCBs,PCB 153,0.072271425,0.017423753,0.030813948,7
10,Non-Ortho PCBs,PCB 169,0.069485514,0.075626265,0.076996433,44
10,Non-Dioxin-like PCBs,PCB 99,0.046948591,0.102371171,0.092976697,56
10,mPFD,"1,2,3,4,6,7,8-hxcdf",0.045602377,0.081696005,0.059970077,57
10,Non-Dioxin-like PCBs,PCB 138,0.034107983,0.022887075,0.027888138,10
10,Non-Dioxin-like PCBs,PCB 187,0.028794358,0.023013487,0.039626962,12
10,Non-Dioxin-like PCBs,PCB 194,0.026140316,0.039834125,0.045298732,24
10,mPFD,"1,2,3,6,7,8-hxcdf",0.022027627,0.023775785,0.02946219,8
10,mPFD,"1,2,3,6,7,8-hxcdd",0.021161143,0.021597053,0.029298756,10
10,mPFD,"1,2,3,4,6,7,8-hpcdd",0.019240678,0.025502809,0.031696889,12
10,Non-Dioxin-like PCBs,PCB 170,0.013093726,0.010449381,0.019559485,4
10,mPFD,"1,2,3,4,7,8-hxcdf",0.011886765,0.029768324,0.03640783,12
10,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.011343465,0.011581327,0.017004002,4
10,Non-Dioxin-like PCBs,PCB 180,0.002289462,0.00353903,0.006393246,0
10,Non-Dioxin-like PCBs,PCB 74,0.002127177,0.039520733,0.052661805,15
11,Non-Ortho PCBs,PCB 126,0.278356097,0.123166939,0.090888143,68
11,mPFD,"2,3,4,7,8-pncdf",0.187905698,0.262474651,0.132506685,96
11,Non-Ortho PCBs,PCB 169,0.158791794,0.075626265,0.076996433,44
11,mPFD,"1,2,3,4,6,7,8-hxcdf",0.126261012,0.081696005,0.059970077,57
11,mPFD,"1,2,3,4,7,8-hxcdf",0.083189877,0.029768324,0.03640783,12
11,Non-Dioxin-like PCBs,PCB 99,0.059083107,0.102371171,0.092976697,56
11,Non-Dioxin-like PCBs,PCB 194,0.025758103,0.039834125,0.045298732,24
11,mPFD,"1,2,3,6,7,8-hxcdd",0.023475705,0.021597053,0.029298756,10
11,mPFD,PCB 118,0.01677581,0.085772087,0.079365683,54
11,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.012242511,0.011581327,0.017004002,4
11,mPFD,"1,2,3,4,6,7,8-hpcdd",0.008388469,0.025502809,0.031696889,12
11,Non-Dioxin-like PCBs,PCB 187,0.008124211,0.023013487,0.039626962,12
11,mPFD,"1,2,3,6,7,8-hxcdf",0.004115423,0.023775785,0.02946219,8
11,Non-Dioxin-like PCBs,PCB 180,0.003370324,0.00353903,0.006393246,0
11,Non-Dioxin-like PCBs,PCB 138,0.002159157,0.022887075,0.027888138,10
11,Non-Dioxin-like PCBs,PCB 74,0.001955274,0.039520733,0.052661805,15
11,Non-Dioxin-like PCBs,PCB 153,4.68E-05,0.017423753,0.030813948,7
11,Non-Dioxin-like PCBs,PCB 170,6.77E-07,0.010449381,0.019559485,4
12,mPFD,"2,3,4,7,8-pncdf",0.290457282,0.262474651,0.132506685,96
12,Non-Ortho PCBs,PCB 126,0.180873176,0.123166939,0.090888143,68
12,mPFD,"1,2,3,4,6,7,8-hpcdd",0.095925772,0.025502809,0.031696889,12
12,mPFD,PCB 118,0.083240568,0.085772087,0.079365683,54
12,mPFD,"1,2,3,4,6,7,8-hxcdf",0.078720186,0.081696005,0.059970077,57
12,Non-Dioxin-like PCBs,PCB 138,0.076183724,0.022887075,0.027888138,10
12,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.058519578,0.011581327,0.017004002,4
12,mPFD,"1,2,3,6,7,8-hxcdd",0.053067132,0.021597053,0.029298756,10
12,Non-Dioxin-like PCBs,PCB 74,0.024933864,0.039520733,0.052661805,15
12,Non-Ortho PCBs,PCB 169,0.01992609,0.075626265,0.076996433,44
12,mPFD,"1,2,3,6,7,8-hxcdf",0.011834705,0.023775785,0.02946219,8
12,Non-Dioxin-like PCBs,PCB 194,0.006664476,0.039834125,0.045298732,24
12,Non-Dioxin-like PCBs,PCB 170,0.00607644,0.010449381,0.019559485,4
12,Non-Dioxin-like PCBs,PCB 99,0.006044773,0.102371171,0.092976697,56
12,Non-Dioxin-like PCBs,PCB 187,0.00476448,0.023013487,0.039626962,12
12,Non-Dioxin-like PCBs,PCB 153,0.002337626,0.017423753,0.030813948,7
12,mPFD,"1,2,3,4,7,8-hxcdf",4.30E-04,0.029768324,0.03640783,12
12,Non-Dioxin-like PCBs,PCB 180,2.07E-07,0.00353903,0.006393246,0
13,mPFD,"2,3,4,7,8-pncdf",0.213395885,0.262474651,0.132506685,96
13,Non-Ortho PCBs,PCB 126,0.19708537,0.123166939,0.090888143,68
13,mPFD,PCB 118,0.154121986,0.085772087,0.079365683,54
13,mPFD,"1,2,3,4,6,7,8-hxcdf",0.124628936,0.081696005,0.059970077,57
13,mPFD,"1,2,3,6,7,8-hxcdd",0.091750473,0.021597053,0.029298756,10
13,mPFD,"1,2,3,4,7,8-hxcdf",0.061344756,0.029768324,0.03640783,12
13,mPFD,"1,2,3,4,6,7,8-hpcdd",0.044632699,0.025502809,0.031696889,12
13,mPFD,"1,2,3,6,7,8-hxcdf",0.040653544,0.023775785,0.02946219,8
13,Non-Dioxin-like PCBs,PCB 99,0.025615207,0.102371171,0.092976697,56
13,Non-Ortho PCBs,PCB 169,0.020501077,0.075626265,0.076996433,44
13,Non-Dioxin-like PCBs,PCB 74,0.020460968,0.039520733,0.052661805,15
13,Non-Dioxin-like PCBs,PCB 187,0.004758304,0.023013487,0.039626962,12
13,Non-Dioxin-like PCBs,PCB 180,5.92E-04,0.00353903,0.006393246,0
13,Non-Dioxin-like PCBs,PCB 138,4.56E-04,0.022887075,0.027888138,10
13,Non-Dioxin-like PCBs,PCB 194,1.84E-06,0.039834125,0.045298732,24
13,Non-Dioxin-like PCBs,PCB 153,8.82E-07,0.017423753,0.030813948,7
13,Non-Dioxin-like PCBs,PCB 170,1.85E-07,0.010449381,0.019559485,4
13,mPFD,"1,2,3,4,6,7,8,9-ocdd",1.10E-07,0.011581327,0.017004002,4
14,mPFD,"2,3,4,7,8-pncdf",0.419397436,0.262474651,0.132506685,96
14,Non-Dioxin-like PCBs,PCB 187,0.16738851,0.023013487,0.039626962,12
14,Non-Dioxin-like PCBs,PCB 194,0.111457198,0.039834125,0.045298732,24
14,Non-Dioxin-like PCBs,PCB 170,0.070353133,0.010449381,0.019559485,4
14,mPFD,"1,2,3,4,6,7,8-hxcdf",0.038424446,0.081696005,0.059970077,57
14,Non-Dioxin-like PCBs,PCB 74,0.030553099,0.039520733,0.052661805,15
14,Non-Dioxin-like PCBs,PCB 99,0.030370234,0.102371171,0.092976697,56
14,Non-Ortho PCBs,PCB 126,0.026663629,0.123166939,0.090888143,68
14,mPFD,"1,2,3,6,7,8-hxcdd",0.019446631,0.021597053,0.029298756,10
14,Non-Ortho PCBs,PCB 169,0.01864788,0.075626265,0.076996433,44
14,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.016416377,0.011581327,0.017004002,4
14,mPFD,PCB 118,0.014095047,0.085772087,0.079365683,54
14,Non-Dioxin-like PCBs,PCB 153,0.012810237,0.017423753,0.030813948,7
14,mPFD,"1,2,3,6,7,8-hxcdf",0.011992708,0.023775785,0.02946219,8
14,mPFD,"1,2,3,4,6,7,8-hpcdd",0.010552599,0.025502809,0.031696889,12
14,Non-Dioxin-like PCBs,PCB 180,6.52E-04,0.00353903,0.006393246,0
14,Non-Dioxin-like PCBs,PCB 138,5.76E-04,0.022887075,0.027888138,10
14,mPFD,"1,2,3,4,7,8-hxcdf",2.04E-04,0.029768324,0.03640783,12
15,mPFD,PCB 118,0.282579204,0.085772087,0.079365683,54
15,mPFD,"2,3,4,7,8-pncdf",0.204172846,0.262474651,0.132506685,96
15,Non-Dioxin-like PCBs,PCB 99,0.135575266,0.102371171,0.092976697,56
15,mPFD,"1,2,3,4,6,7,8-hxcdf",0.110478841,0.081696005,0.059970077,57
15,Non-Ortho PCBs,PCB 126,0.09451321,0.123166939,0.090888143,68
15,Non-Dioxin-like PCBs,PCB 74,0.079204903,0.039520733,0.052661805,15
15,mPFD,"1,2,3,6,7,8-hxcdf",0.041746729,0.023775785,0.02946219,8
15,mPFD,"1,2,3,4,6,7,8-hpcdd",0.012898752,0.025502809,0.031696889,12
15,Non-Dioxin-like PCBs,PCB 138,0.010440593,0.022887075,0.027888138,10
15,Non-Dioxin-like PCBs,PCB 153,0.007834911,0.017423753,0.030813948,7
15,Non-Dioxin-like PCBs,PCB 187,0.007530917,0.023013487,0.039626962,12
15,mPFD,"1,2,3,6,7,8-hxcdd",0.004701769,0.021597053,0.029298756,10
15,Non-Dioxin-like PCBs,PCB 194,0.003600092,0.039834125,0.045298732,24
15,Non-Dioxin-like PCBs,PCB 170,0.002555849,0.010449381,0.019559485,4
15,Non-Ortho PCBs,PCB 169,0.001250772,0.075626265,0.076996433,44
15,Non-Dioxin-like PCBs,PCB 180,9.15E-04,0.00353903,0.006393246,0
