"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"182",11,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
"183",11,"mPFD","PCB 118",0.0037773300226038,0.00417413751941203,0.00015889455616173,100
"184",11,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"185",11,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"186",11,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"187",11,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"188",11,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"189",11,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"190",11,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"191",11,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"192",11,"mPFD","2,3,4,7,8-pncdf",0.0226471663382398,0.022785687851283,9.85868262387431e-05,100
"193",11,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"194",11,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"195",11,"mPFD","1,2,3,4,6,7,8-hxcdf",3.96374517551747e-05,0.000812445079317047,0.000192221485691723,71
"196",11,"Non-Ortho PCBs","PCB 126",0.0106611457803702,0.010731540842584,5.24662956248506e-05,100
"197",11,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"198",11,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"199",12,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"200",12,"Non-Dioxin-like PCBs","PCB 99",0.00137096222544985,0.00207883006469387,0.000103872062126573,100
"201",12,"mPFD","PCB 118",0.00339259251451403,0.00417413751941203,0.00015889455616173,100
"202",12,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"203",12,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"204",12,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"205",12,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"206",12,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"207",12,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"208",12,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"209",12,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"210",12,"mPFD","2,3,4,7,8-pncdf",0.0220294215174968,0.022785687851283,9.85868262387431e-05,100
"211",12,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"212",12,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"213",12,"mPFD","1,2,3,4,6,7,8-hxcdf",0,0.000812445079317047,0.000192221485691723,71
"214",12,"Non-Ortho PCBs","PCB 126",0.010321264063308,0.010731540842584,5.24662956248506e-05,100
"215",12,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"216",12,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"217",13,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"218",13,"Non-Dioxin-like PCBs","PCB 99",0.00233239851005607,0.00207883006469387,0.000103872062126573,100
"219",13,"mPFD","PCB 118",0.0041102234433308,0.00417413751941203,0.00015889455616173,100
"220",13,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"221",13,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"222",13,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"223",13,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"224",13,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"225",13,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"226",13,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"227",13,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"228",13,"mPFD","2,3,4,7,8-pncdf",0.02309937191823,0.022785687851283,9.85868262387431e-05,100
"229",13,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"230",13,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"231",13,"mPFD","1,2,3,4,6,7,8-hxcdf",0.000554558937332465,0.000812445079317047,0.000192221485691723,71
"232",13,"Non-Ortho PCBs","PCB 126",0.0109212743305355,0.010731540842584,5.24662956248506e-05,100
"233",13,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"234",13,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"235",14,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"236",14,"Non-Dioxin-like PCBs","PCB 99",0.00233239851005607,0.00207883006469387,0.000103872062126573,100
"237",14,"mPFD","PCB 118",0.0041102234433308,0.00417413751941203,0.00015889455616173,100
"238",14,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"239",14,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"240",14,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"241",14,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"242",14,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"243",14,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"244",14,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"245",14,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"246",14,"mPFD","2,3,4,7,8-pncdf",0.02309937191823,0.022785687851283,9.85868262387431e-05,100
"247",14,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"248",14,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"249",14,"mPFD","1,2,3,4,6,7,8-hxcdf",0.000554558937332465,0.000812445079317047,0.000192221485691723,71
"250",14,"Non-Ortho PCBs","PCB 126",0.0109212743305355,0.010731540842584,5.24662956248506e-05,100
"251",14,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"252",14,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"253",15,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"254",15,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
"255",15,"mPFD","PCB 118",0.0037773300226038,0.00417413751941203,0.00015889455616173,100
"256",15,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"257",15,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"258",15,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"259",15,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"260",15,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"261",15,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"262",15,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"263",15,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"264",15,"mPFD","2,3,4,7,8-pncdf",0.0226471663382398,0.022785687851283,9.85868262387431e-05,100
"265",15,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"266",15,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"267",15,"mPFD","1,2,3,4,6,7,8-hxcdf",3.96374517551747e-05,0.000812445079317047,0.000192221485691723,71
"268",15,"Non-Ortho PCBs","PCB 126",0.0106611457803702,0.010731540842584,5.24662956248506e-05,100
"269",15,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"270",15,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"271",16,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"272",16,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
"273",16,"mPFD","PCB 118",0.0037773300226038,0.00417413751941203,0.00015889455616173,100
"274",16,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"275",16,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"276",16,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"277",16,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"278",16,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"279",16,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"280",16,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"281",16,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"282",16,"mPFD","2,3,4,7,8-pncdf",0.0226471663382398,0.022785687851283,9.85868262387431e-05,100
"283",16,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"284",16,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"285",16,"mPFD","1,2,3,4,6,7,8-hxcdf",3.96374517551747e-05,0.000812445079317047,0.000192221485691723,71
"286",16,"Non-Ortho PCBs","PCB 126",0.0106611457803702,0.010731540842584,5.24662956248506e-05,100
"287",16,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"288",16,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"289",17,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"290",17,"Non-Dioxin-like PCBs","PCB 99",0.000740520297643303,0.00207883006469387,0.000103872062126573,100
"291",17,"mPFD","PCB 118",0.00303638446904133,0.00417413751941203,0.00015889455616173,100
"292",17,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"293",17,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
